Company,Position,Sector,Job Post Location,Internship Timing,Application Deadline,Date Applied,Interview,Outcome
FACT Capital,US Investments Analyst Intern,Finance,Website,Academic Year,8/30/2023,8/14/2023,No,Rejected
JP Morgan,2024 Corporate Client banking & Specialized Inustries Summer Analyst Program,Finance,Website,Summer,9/30/2023,9/27/2023,No,Rejected
Marathon Capital,Summer Analyst,Finance,Website,Summer,10/8/2023,10/15/2023,Yes,Rejected
NCGrowth,Part-Time Analyst,Finance,Website,Fall / Winter,9/11/2023,9/11/2023,No,Rejected
Mars,Summer Sustainability Analyst,,Website,,,9/28/2023,No,Rejected
Federal Reserve,Graduate Summer Associate,Finance,Website,Summer,11/1/2023,10/2/2023,Pending,Pending
S&P Global,Credit Team Intern,Finance,Website,Summer,,9/25/2023,Pending,Pending
GE Vernova,Finance Management Program Internship,Finance,Website,Summer,,10/5/2023,No,Rejected
Invenergy,Treasury & Financial Planning & Analysis,Finance,Website,Summer,,10/5/2023,No,Rejected
Apollo Management,2024 Summer Analyst - Operations,Operations,Website,Summer,,10/9/2023,Pending,Pending
Microsoft,Energy Strategy Intern,Strategy,Email,Summer,11/30/2023,11/23/2023,Pending,Pending
The Climate Initiative,LEAF Program Fellow,Strategy,Email,Spring,11/24/2023,11/24/2023,No,Rejected
MidOcean Partners,Credit Analyst Summer Intern,Finance,Handshake,Summer,1/31/2024,12/29/2023,Pending,Pending
CoBank,"Credit/Finance Intern, Summer 2024 - Power, Energy & Utilities",Finance,Handshake,Summer,1/31/2024,12/29/2023,Pending,Pending
Trinity Industries,ESG Summer Intern,Sustainability,Handshake,Summer,6/15/2024,12/29/2023,Yes,Offer
Thornton Tomasetti,Sustainability Intern,Sustainability,Handshake,Summer,12/30/2023,12/30/2023,No,Rejected
3R Sustainability,Sustainability Intern,Sustainability,Handshake,Summer,5/13/2024,12/30/2023,Yes,Interview
JP Morgan,Emerging Talent - Campbell Global Timberland Finance Internship Program,Finance,LinkedIn,Summer,1/8/2024,12/30/2023,No,Rejected
Guidehouse,Intern – Sustainability – Campus 2024,Sustainability,Handshake,Summer,,12/30/2023,Pending,Pending
Thomson Reuters,ESG/Sustainability Intern,Sustainability,Handshake,Summer,,12/30/2023,No,Rejected
Granite Construction,Environmental Intern,Sustainability,Handshake,Summer,,12/30/2023,Pending,Pending
WSP,Associate Consultant Intern - Summer 2024,Sustainability,Handshake,Summer,,12/30/2023,Pending,Pending
SoundTransit,Sustainability Intern - Summer 2024,Sustainability,Handshake,Summer,,12/30/2023,Pending,Pending
S&C Electric Company,Environmental Sustainability - Intern,Sustainability,Handshake,Summer,,12/30/2023,No,Rejected
Tapestry,Summer ESG & Sustainability Internships,Sustainability,Handshake,Summer,,12/30/2023,Pending,Pending
Diversified Energy,Internship 2024,Sustainability,Handshake,Summer,,12/30/2023,Pending,Pending
Engie,Power Marketing Intern,Sustainability,Handshake,Summer,,12/30/2023,No,Rejected
Allstate,Climate Investments Intern,Finance,Handshake,Summer,,1/8/2023,No,Rejected
The Coca Cola Company,Global Policy & Sustainability Intern,Sustainability,Website,Summer,,1/23/2024,Pending,Pending
Netflix,Sustainability & Live Experiences Inter,Sustainability,Website,Summer,2/9/2024,1/25/2024,Pending,Pending
NC Sustainable Energy Association,Energy Data Fellow,Sustainability,Handshake,Summer,1/25/2024,1/25/2024,Yes,Offer
Disney,Public Policy Grad Student,Policy,LinkedIn,Summer,,2/6/2024,Pending,Pending
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
